monastery convent
spokesman spokeswoman
priest nun
dad mom
men women
grandpa grandma
grandsons granddaughters
prostate_cancer ovarian_cancer
testosterone estrogen
uncle aunt
wives husbands
boy girl
boys girls
brother sister
brothers sisters
businessman businesswoman
chairman chairwoman
colt filly
congressman congresswoman
dad mom
dads moms
dudes gals
father mother
fatherhood motherhood
fathers mothers
fella granny
fraternity sorority
gentleman lady
gentlemen ladies
grandfather grandmother
grandson granddaughter
he she
himself herself
his her
king queen
kings queens
male female
males females
man woman
men women
nephew niece
prince princess
schoolboy schoolgirl
son daughter
sons daughters
twin_brother twin_sister
